year,state,month,month_name,unemployment,date,region,division
2013,Georgia,4,April,8.5,2013-04-01,South,South Atlantic
2013,Georgia,3,March,8.6,2013-03-01,South,South Atlantic
2013,Georgia,2,February,8.6,2013-02-01,South,South Atlantic
2013,Georgia,1,January,8.7,2013-01-01,South,South Atlantic
2012,Georgia,12,December,8.7,2012-12-01,South,South Atlantic
2012,Georgia,11,November,8.8,2012-11-01,South,South Atlantic
2012,Georgia,10,October,8.8,2012-10-01,South,South Atlantic
2012,Georgia,9,September,8.9,2012-09-01,South,South Atlantic
2012,Georgia,8,August,9,2012-08-01,South,South Atlantic
2012,Georgia,7,July,9.1,2012-07-01,South,South Atlantic
2012,Georgia,6,June,9.3,2012-06-01,South,South Atlantic
2012,Georgia,5,May,9.4,2012-05-01,South,South Atlantic
2012,Georgia,4,April,9.5,2012-04-01,South,South Atlantic
2012,Georgia,3,March,9.5,2012-03-01,South,South Atlantic
2012,Georgia,2,February,9.6,2012-02-01,South,South Atlantic
2012,Georgia,1,January,9.7,2012-01-01,South,South Atlantic
2011,Georgia,12,December,9.8,2011-12-01,South,South Atlantic
2011,Georgia,11,November,9.9,2011-11-01,South,South Atlantic
2011,Georgia,10,October,10.1,2011-10-01,South,South Atlantic
2011,Georgia,9,September,10.2,2011-09-01,South,South Atlantic
2011,Georgia,8,August,10.3,2011-08-01,South,South Atlantic
2011,Georgia,7,July,10.4,2011-07-01,South,South Atlantic
2011,Georgia,6,June,10.3,2011-06-01,South,South Atlantic
2011,Georgia,5,May,10.3,2011-05-01,South,South Atlantic
2011,Georgia,4,April,10.3,2011-04-01,South,South Atlantic
2011,Georgia,3,March,10.3,2011-03-01,South,South Atlantic
2011,Georgia,2,February,10.4,2011-02-01,South,South Atlantic
2011,Georgia,1,January,10.5,2011-01-01,South,South Atlantic
2010,Georgia,12,December,10.6,2010-12-01,South,South Atlantic
2010,Georgia,11,November,10.6,2010-11-01,South,South Atlantic
2010,Georgia,10,October,10.6,2010-10-01,South,South Atlantic
2010,Georgia,9,September,10.5,2010-09-01,South,South Atlantic
2010,Georgia,8,August,10.4,2010-08-01,South,South Atlantic
2010,Georgia,7,July,10.3,2010-07-01,South,South Atlantic
2010,Georgia,6,June,10.3,2010-06-01,South,South Atlantic
2010,Georgia,5,May,10.4,2010-05-01,South,South Atlantic
2010,Georgia,4,April,10.5,2010-04-01,South,South Atlantic
2010,Georgia,3,March,10.6,2010-03-01,South,South Atlantic
2010,Georgia,2,February,10.6,2010-02-01,South,South Atlantic
2010,Georgia,1,January,10.5,2010-01-01,South,South Atlantic
2009,Georgia,12,December,10.5,2009-12-01,South,South Atlantic
2009,Georgia,11,November,10.5,2009-11-01,South,South Atlantic
2009,Georgia,10,October,10.4,2009-10-01,South,South Atlantic
2009,Georgia,9,September,10.4,2009-09-01,South,South Atlantic
2009,Georgia,8,August,10.3,2009-08-01,South,South Atlantic
2009,Georgia,7,July,10.2,2009-07-01,South,South Atlantic
2009,Georgia,6,June,10,2009-06-01,South,South Atlantic
2009,Georgia,5,May,9.9,2009-05-01,South,South Atlantic
2009,Georgia,4,April,9.7,2009-04-01,South,South Atlantic
2009,Georgia,3,March,9.5,2009-03-01,South,South Atlantic
2009,Georgia,2,February,9.1,2009-02-01,South,South Atlantic
2009,Georgia,1,January,8.7,2009-01-01,South,South Atlantic
2008,Georgia,12,December,8.2,2008-12-01,South,South Atlantic
2008,Georgia,11,November,7.7,2008-11-01,South,South Atlantic
2008,Georgia,10,October,7.3,2008-10-01,South,South Atlantic
2008,Georgia,9,September,6.8,2008-09-01,South,South Atlantic
2008,Georgia,8,August,6.3,2008-08-01,South,South Atlantic
2008,Georgia,7,July,6.1,2008-07-01,South,South Atlantic
2008,Georgia,6,June,5.9,2008-06-01,South,South Atlantic
2008,Georgia,5,May,5.7,2008-05-01,South,South Atlantic
2008,Georgia,4,April,5.5,2008-04-01,South,South Atlantic
2008,Georgia,3,March,5.4,2008-03-01,South,South Atlantic
2008,Georgia,2,February,5.2,2008-02-01,South,South Atlantic
2008,Georgia,1,January,5.1,2008-01-01,South,South Atlantic
2007,Georgia,12,December,5,2007-12-01,South,South Atlantic
2007,Georgia,11,November,4.9,2007-11-01,South,South Atlantic
2007,Georgia,10,October,4.8,2007-10-01,South,South Atlantic
2007,Georgia,9,September,4.7,2007-09-01,South,South Atlantic
2007,Georgia,8,August,4.6,2007-08-01,South,South Atlantic
2007,Georgia,7,July,4.5,2007-07-01,South,South Atlantic
2007,Georgia,6,June,4.4,2007-06-01,South,South Atlantic
2007,Georgia,5,May,4.4,2007-05-01,South,South Atlantic
2007,Georgia,4,April,4.3,2007-04-01,South,South Atlantic
2007,Georgia,3,March,4.3,2007-03-01,South,South Atlantic
2007,Georgia,2,February,4.3,2007-02-01,South,South Atlantic
2007,Georgia,1,January,4.3,2007-01-01,South,South Atlantic
2006,Georgia,12,December,4.4,2006-12-01,South,South Atlantic
2006,Georgia,11,November,4.5,2006-11-01,South,South Atlantic
2006,Georgia,10,October,4.6,2006-10-01,South,South Atlantic
2006,Georgia,9,September,4.7,2006-09-01,South,South Atlantic
2006,Georgia,8,August,4.7,2006-08-01,South,South Atlantic
2006,Georgia,7,July,4.8,2006-07-01,South,South Atlantic
2006,Georgia,6,June,4.8,2006-06-01,South,South Atlantic
2006,Georgia,5,May,4.8,2006-05-01,South,South Atlantic
2006,Georgia,4,April,4.8,2006-04-01,South,South Atlantic
2006,Georgia,3,March,4.8,2006-03-01,South,South Atlantic
2006,Georgia,2,February,4.8,2006-02-01,South,South Atlantic
2006,Georgia,1,January,5,2006-01-01,South,South Atlantic
2016,Hawaii,12,December,2.8,2016-12-01,West,Pacific
2016,Hawaii,11,November,2.8,2016-11-01,West,Pacific
2016,Hawaii,10,October,2.9,2016-10-01,West,Pacific
2016,Hawaii,9,September,2.9,2016-09-01,West,Pacific
2016,Hawaii,8,August,2.9,2016-08-01,West,Pacific
2016,Hawaii,7,July,3,2016-07-01,West,Pacific
2016,Hawaii,6,June,3,2016-06-01,West,Pacific
2016,Hawaii,5,May,3,2016-05-01,West,Pacific
2016,Hawaii,4,April,3,2016-04-01,West,Pacific
2016,Hawaii,3,March,3,2016-03-01,West,Pacific
2016,Hawaii,2,February,3,2016-02-01,West,Pacific
2016,Hawaii,1,January,3.1,2016-01-01,West,Pacific
2015,Hawaii,12,December,3.1,2015-12-01,West,Pacific
2015,Hawaii,11,November,3.2,2015-11-01,West,Pacific
2015,Hawaii,10,October,3.3,2015-10-01,West,Pacific
2015,Hawaii,9,September,3.4,2015-09-01,West,Pacific
2015,Hawaii,8,August,3.4,2015-08-01,West,Pacific
2015,Hawaii,7,July,3.5,2015-07-01,West,Pacific
2015,Hawaii,6,June,3.6,2015-06-01,West,Pacific
2015,Hawaii,5,May,3.7,2015-05-01,West,Pacific
2015,Hawaii,4,April,3.8,2015-04-01,West,Pacific
2015,Hawaii,3,March,3.9,2015-03-01,West,Pacific
2015,Hawaii,2,February,3.9,2015-02-01,West,Pacific
2015,Hawaii,1,January,4,2015-01-01,West,Pacific
2014,Hawaii,12,December,4,2014-12-01,West,Pacific
2014,Hawaii,11,November,4.1,2014-11-01,West,Pacific
2014,Hawaii,10,October,4.1,2014-10-01,West,Pacific
2014,Hawaii,9,September,4.2,2014-09-01,West,Pacific
2014,Hawaii,8,August,4.2,2014-08-01,West,Pacific
2014,Hawaii,7,July,4.3,2014-07-01,West,Pacific
2014,Hawaii,6,June,4.4,2014-06-01,West,Pacific
2014,Hawaii,5,May,4.5,2014-05-01,West,Pacific
2014,Hawaii,4,April,4.5,2014-04-01,West,Pacific
2014,Hawaii,3,March,4.6,2014-03-01,West,Pacific
2014,Hawaii,2,February,4.6,2014-02-01,West,Pacific
2014,Hawaii,1,January,4.7,2014-01-01,West,Pacific
2013,Hawaii,12,December,4.8,2013-12-01,West,Pacific
2013,Hawaii,11,November,4.8,2013-11-01,West,Pacific
2013,Hawaii,10,October,4.8,2013-10-01,West,Pacific
2013,Hawaii,9,September,4.8,2013-09-01,West,Pacific
2013,Hawaii,8,August,4.8,2013-08-01,West,Pacific
2013,Hawaii,7,July,4.8,2013-07-01,West,Pacific
2013,Hawaii,6,June,4.8,2013-06-01,West,Pacific
2013,Hawaii,5,May,4.9,2013-05-01,West,Pacific
2013,Hawaii,4,April,4.9,2013-04-01,West,Pacific
2013,Hawaii,3,March,5,2013-03-01,West,Pacific
2013,Hawaii,2,February,5.1,2013-02-01,West,Pacific
2013,Hawaii,1,January,5.1,2013-01-01,West,Pacific
2012,Hawaii,12,December,5.2,2012-12-01,West,Pacific
2012,Hawaii,11,November,5.3,2012-11-01,West,Pacific
2012,Hawaii,10,October,5.4,2012-10-01,West,Pacific
2012,Hawaii,9,September,5.6,2012-09-01,West,Pacific
2012,Hawaii,8,August,5.8,2012-08-01,West,Pacific
2012,Hawaii,7,July,6,2012-07-01,West,Pacific
2012,Hawaii,6,June,6.1,2012-06-01,West,Pacific
2012,Hawaii,5,May,6.3,2012-05-01,West,Pacific
2012,Hawaii,4,April,6.4,2012-04-01,West,Pacific
2012,Hawaii,3,March,6.6,2012-03-01,West,Pacific
2012,Hawaii,2,February,6.7,2012-02-01,West,Pacific
2012,Hawaii,1,January,6.7,2012-01-01,West,Pacific
2011,Hawaii,12,December,6.8,2011-12-01,West,Pacific
2011,Hawaii,11,November,6.9,2011-11-01,West,Pacific
2011,Hawaii,10,October,6.9,2011-10-01,West,Pacific
2011,Hawaii,9,September,6.9,2011-09-01,West,Pacific
2011,Hawaii,8,August,6.9,2011-08-01,West,Pacific
2011,Hawaii,7,July,6.8,2011-07-01,West,Pacific
2011,Hawaii,6,June,6.8,2011-06-01,West,Pacific
2011,Hawaii,5,May,6.7,2011-05-01,West,Pacific
2011,Hawaii,4,April,6.7,2011-04-01,West,Pacific
2011,Hawaii,3,March,6.7,2011-03-01,West,Pacific
2011,Hawaii,2,February,6.7,2011-02-01,West,Pacific
2011,Hawaii,1,January,6.8,2011-01-01,West,Pacific
2010,Hawaii,12,December,6.8,2010-12-01,West,Pacific
2010,Hawaii,11,November,6.9,2010-11-01,West,Pacific
2010,Hawaii,10,October,6.9,2010-10-01,West,Pacific
2010,Hawaii,9,September,7,2010-09-01,West,Pacific
2010,Hawaii,8,August,7,2010-08-01,West,Pacific
2010,Hawaii,7,July,7,2010-07-01,West,Pacific
2010,Hawaii,6,June,6.9,2010-06-01,West,Pacific
2010,Hawaii,5,May,6.9,2010-05-01,West,Pacific
2010,Hawaii,4,April,6.9,2010-04-01,West,Pacific
2010,Hawaii,3,March,7,2010-03-01,West,Pacific
2010,Hawaii,2,February,7,2010-02-01,West,Pacific
2010,Hawaii,1,January,7.1,2010-01-01,West,Pacific
2009,Hawaii,12,December,7.2,2009-12-01,West,Pacific
2009,Hawaii,11,November,7.2,2009-11-01,West,Pacific
2009,Hawaii,10,October,7.3,2009-10-01,West,Pacific
2009,Hawaii,9,September,7.3,2009-09-01,West,Pacific
2009,Hawaii,8,August,7.3,2009-08-01,West,Pacific
2009,Hawaii,7,July,7.3,2009-07-01,West,Pacific
2009,Hawaii,6,June,7.3,2009-06-01,West,Pacific
2009,Hawaii,5,May,7.3,2009-05-01,West,Pacific
2009,Hawaii,4,April,7.2,2009-04-01,West,Pacific
2009,Hawaii,3,March,7,2009-03-01,West,Pacific
2009,Hawaii,2,February,6.7,2009-02-01,West,Pacific
2009,Hawaii,1,January,6.4,2009-01-01,West,Pacific
2008,Hawaii,12,December,6,2008-12-01,West,Pacific
2008,Hawaii,11,November,5.6,2008-11-01,West,Pacific
2008,Hawaii,10,October,5.2,2008-10-01,West,Pacific
2008,Hawaii,9,September,4.9,2008-09-01,West,Pacific
2008,Hawaii,8,August,4.6,2008-08-01,West,Pacific
2008,Hawaii,7,July,4.3,2008-07-01,West,Pacific
2008,Hawaii,6,June,4,2008-06-01,West,Pacific
2008,Hawaii,5,May,3.8,2008-05-01,West,Pacific
2008,Hawaii,4,April,3.6,2008-04-01,West,Pacific
2008,Hawaii,3,March,3.4,2008-03-01,West,Pacific
2008,Hawaii,2,February,3.3,2008-02-01,West,Pacific
2008,Hawaii,1,January,3.2,2008-01-01,West,Pacific
2007,Hawaii,12,December,3.1,2007-12-01,West,Pacific
2007,Hawaii,11,November,3.1,2007-11-01,West,Pacific
2007,Hawaii,10,October,3,2007-10-01,West,Pacific
2007,Hawaii,9,September,2.9,2007-09-01,West,Pacific
2007,Hawaii,8,August,2.8,2007-08-01,West,Pacific
2007,Hawaii,7,July,2.8,2007-07-01,West,Pacific
2007,Hawaii,6,June,2.7,2007-06-01,West,Pacific
2007,Hawaii,5,May,2.7,2007-05-01,West,Pacific
2007,Hawaii,4,April,2.6,2007-04-01,West,Pacific
2007,Hawaii,3,March,2.6,2007-03-01,West,Pacific
2007,Hawaii,2,February,2.5,2007-02-01,West,Pacific
2007,Hawaii,1,January,2.5,2007-01-01,West,Pacific
2006,Hawaii,12,December,2.4,2006-12-01,West,Pacific
2006,Hawaii,11,November,2.4,2006-11-01,West,Pacific
2006,Hawaii,10,October,2.4,2006-10-01,West,Pacific
2006,Hawaii,9,September,2.5,2006-09-01,West,Pacific
2006,Hawaii,8,August,2.6,2006-08-01,West,Pacific
2006,Hawaii,7,July,2.7,2006-07-01,West,Pacific
2006,Hawaii,6,June,2.8,2006-06-01,West,Pacific
2006,Hawaii,5,May,2.8,2006-05-01,West,Pacific
2006,Hawaii,4,April,2.8,2006-04-01,West,Pacific
2006,Hawaii,3,March,2.8,2006-03-01,West,Pacific
2006,Hawaii,2,February,2.8,2006-02-01,West,Pacific
2006,Hawaii,1,January,2.7,2006-01-01,West,Pacific
2016,Idaho,12,December,3.5,2016-12-01,West,Mountain
2016,Idaho,11,November,3.6,2016-11-01,West,Mountain
2016,Idaho,10,October,3.6,2016-10-01,West,Mountain
2016,Idaho,9,September,3.7,2016-09-01,West,Mountain
2016,Idaho,8,August,3.7,2016-08-01,West,Mountain
2016,Idaho,7,July,3.8,2016-07-01,West,Mountain
2016,Idaho,6,June,3.8,2016-06-01,West,Mountain
2016,Idaho,5,May,3.8,2016-05-01,West,Mountain
2016,Idaho,4,April,3.9,2016-04-01,West,Mountain
2016,Idaho,3,March,3.9,2016-03-01,West,Mountain
2016,Idaho,2,February,3.9,2016-02-01,West,Mountain
2016,Idaho,1,January,4,2016-01-01,West,Mountain
2015,Idaho,12,December,4,2015-12-01,West,Mountain
2015,Idaho,11,November,4.1,2015-11-01,West,Mountain
2015,Idaho,10,October,4.1,2015-10-01,West,Mountain
2015,Idaho,9,September,4.2,2015-09-01,West,Mountain
2015,Idaho,8,August,4.2,2015-08-01,West,Mountain
2015,Idaho,7,July,4.2,2015-07-01,West,Mountain
2015,Idaho,6,June,4.3,2015-06-01,West,Mountain
2015,Idaho,5,May,4.3,2015-05-01,West,Mountain
2015,Idaho,4,April,4.3,2015-04-01,West,Mountain
2015,Idaho,3,March,4.3,2015-03-01,West,Mountain
2015,Idaho,2,February,4.3,2015-02-01,West,Mountain
2015,Idaho,1,January,4.4,2015-01-01,West,Mountain
2014,Idaho,12,December,4.4,2014-12-01,West,Mountain
2014,Idaho,11,November,4.5,2014-11-01,West,Mountain
2014,Idaho,10,October,4.6,2014-10-01,West,Mountain
2014,Idaho,9,September,4.7,2014-09-01,West,Mountain
2014,Idaho,8,August,4.8,2014-08-01,West,Mountain
2014,Idaho,7,July,4.9,2014-07-01,West,Mountain
2014,Idaho,6,June,4.9,2014-06-01,West,Mountain
2014,Idaho,5,May,5,2014-05-01,West,Mountain
2014,Idaho,4,April,5,2014-04-01,West,Mountain
2014,Idaho,3,March,5.1,2014-03-01,West,Mountain
2014,Idaho,2,February,5.2,2014-02-01,West,Mountain
2014,Idaho,1,January,5.3,2014-01-01,West,Mountain
2013,Idaho,12,December,5.4,2013-12-01,West,Mountain
2013,Idaho,11,November,5.6,2013-11-01,West,Mountain
2013,Idaho,10,October,5.7,2013-10-01,West,Mountain
2013,Idaho,9,September,5.9,2013-09-01,West,Mountain
2013,Idaho,8,August,6,2013-08-01,West,Mountain
2013,Idaho,7,July,6.1,2013-07-01,West,Mountain
2013,Idaho,6,June,6.2,2013-06-01,West,Mountain
2013,Idaho,5,May,6.3,2013-05-01,West,Mountain
2013,Idaho,4,April,6.4,2013-04-01,West,Mountain
2013,Idaho,3,March,6.5,2013-03-01,West,Mountain
2013,Idaho,2,February,6.6,2013-02-01,West,Mountain
2013,Idaho,1,January,6.7,2013-01-01,West,Mountain
2012,Idaho,12,December,6.6,2012-12-01,West,Mountain
2012,Idaho,11,November,6.7,2012-11-01,West,Mountain
2012,Idaho,10,October,6.8,2012-10-01,West,Mountain
2012,Idaho,9,September,7,2012-09-01,West,Mountain
2012,Idaho,8,August,7.1,2012-08-01,West,Mountain
2012,Idaho,7,July,7.2,2012-07-01,West,Mountain
2012,Idaho,6,June,7.3,2012-06-01,West,Mountain
2012,Idaho,5,May,7.4,2012-05-01,West,Mountain
2012,Idaho,4,April,7.5,2012-04-01,West,Mountain
2012,Idaho,3,March,7.5,2012-03-01,West,Mountain
2012,Idaho,2,February,7.6,2012-02-01,West,Mountain
2012,Idaho,1,January,7.7,2012-01-01,West,Mountain
2011,Idaho,12,December,7.8,2011-12-01,West,Mountain
2011,Idaho,11,November,7.9,2011-11-01,West,Mountain
2011,Idaho,10,October,8,2011-10-01,West,Mountain
2011,Idaho,9,September,8.1,2011-09-01,West,Mountain
2011,Idaho,8,August,8.2,2011-08-01,West,Mountain
2011,Idaho,7,July,8.3,2011-07-01,West,Mountain
2011,Idaho,6,June,8.4,2011-06-01,West,Mountain
2011,Idaho,5,May,8.5,2011-05-01,West,Mountain
2011,Idaho,4,April,8.6,2011-04-01,West,Mountain
2011,Idaho,3,March,8.6,2011-03-01,West,Mountain
2011,Idaho,2,February,8.7,2011-02-01,West,Mountain
2011,Idaho,1,January,8.7,2011-01-01,West,Mountain
2010,Idaho,12,December,8.8,2010-12-01,West,Mountain
2010,Idaho,11,November,8.8,2010-11-01,West,Mountain
2010,Idaho,10,October,8.8,2010-10-01,West,Mountain
2010,Idaho,9,September,8.8,2010-09-01,West,Mountain
2010,Idaho,8,August,8.9,2010-08-01,West,Mountain
2010,Idaho,7,July,8.9,2010-07-01,West,Mountain
2010,Idaho,6,June,9,2010-06-01,West,Mountain
2010,Idaho,5,May,9,2010-05-01,West,Mountain
2010,Idaho,4,April,9.1,2010-04-01,West,Mountain
2010,Idaho,3,March,9.1,2010-03-01,West,Mountain
2010,Idaho,2,February,9.2,2010-02-01,West,Mountain
2010,Idaho,1,January,9.2,2010-01-01,West,Mountain
2009,Idaho,12,December,9.2,2009-12-01,West,Mountain
2009,Idaho,11,November,9.2,2009-11-01,West,Mountain
2009,Idaho,10,October,9.3,2009-10-01,West,Mountain
2009,Idaho,9,September,9.4,2009-09-01,West,Mountain
2009,Idaho,8,August,9.5,2009-08-01,West,Mountain
2009,Idaho,7,July,9.6,2009-07-01,West,Mountain
2009,Idaho,6,June,9.6,2009-06-01,West,Mountain
2009,Idaho,5,May,9.2,2009-05-01,West,Mountain
2009,Idaho,4,April,7.6,2009-04-01,West,Mountain
2009,Idaho,3,March,7.6,2009-03-01,West,Mountain
2009,Idaho,2,February,7.4,2009-02-01,West,Mountain
2009,Idaho,1,January,7.2,2009-01-01,West,Mountain
2008,Idaho,12,December,6.9,2008-12-01,West,Mountain
2008,Idaho,11,November,6.6,2008-11-01,West,Mountain
2008,Idaho,10,October,6.3,2008-10-01,West,Mountain
2008,Idaho,9,September,6,2008-09-01,West,Mountain
2008,Idaho,8,August,5.8,2008-08-01,West,Mountain
2008,Idaho,7,July,5.7,2008-07-01,West,Mountain
2008,Idaho,6,June,5.5,2008-06-01,West,Mountain
2008,Idaho,5,May,5.2,2008-05-01,West,Mountain
2008,Idaho,4,April,4.7,2008-04-01,West,Mountain
2008,Idaho,3,March,3,2008-03-01,West,Mountain
2008,Idaho,2,February,3,2008-02-01,West,Mountain
2008,Idaho,1,January,3,2008-01-01,West,Mountain
2007,Idaho,12,December,3.1,2007-12-01,West,Mountain
2007,Idaho,11,November,3.2,2007-11-01,West,Mountain
2007,Idaho,10,October,3.2,2007-10-01,West,Mountain
2007,Idaho,9,September,3.2,2007-09-01,West,Mountain
2007,Idaho,8,August,3.1,2007-08-01,West,Mountain
2007,Idaho,7,July,3,2007-07-01,West,Mountain
2007,Idaho,6,June,2.9,2007-06-01,West,Mountain
2007,Idaho,5,May,2.9,2007-05-01,West,Mountain
2007,Idaho,4,April,2.9,2007-04-01,West,Mountain
2007,Idaho,3,March,2.9,2007-03-01,West,Mountain
2007,Idaho,2,February,3,2007-02-01,West,Mountain
2007,Idaho,1,January,3.1,2007-01-01,West,Mountain
2006,Idaho,12,December,3.2,2006-12-01,West,Mountain
2006,Idaho,11,November,3.2,2006-11-01,West,Mountain
2006,Idaho,10,October,3.3,2006-10-01,West,Mountain
2006,Idaho,9,September,3.3,2006-09-01,West,Mountain
2006,Idaho,8,August,3.4,2006-08-01,West,Mountain
2006,Idaho,7,July,3.4,2006-07-01,West,Mountain
2006,Idaho,6,June,3.5,2006-06-01,West,Mountain
2006,Idaho,5,May,3.6,2006-05-01,West,Mountain
2006,Idaho,4,April,3.6,2006-04-01,West,Mountain
2006,Idaho,3,March,3.7,2006-03-01,West,Mountain
2006,Idaho,2,February,3.7,2006-02-01,West,Mountain
2006,Idaho,1,January,3.8,2006-01-01,West,Mountain
2016,Illinois,12,December,5.4,2016-12-01,Midwest,East North Central
2016,Illinois,11,November,5.5,2016-11-01,Midwest,East North Central
2016,Illinois,10,October,5.6,2016-10-01,Midwest,East North Central
2016,Illinois,9,September,5.7,2016-09-01,Midwest,East North Central
2016,Illinois,8,August,5.7,2016-08-01,Midwest,East North Central
2016,Illinois,7,July,5.8,2016-07-01,Midwest,East North Central
2016,Illinois,6,June,5.9,2016-06-01,Midwest,East North Central
2016,Illinois,5,May,5.9,2016-05-01,Midwest,East North Central
2016,Illinois,4,April,6,2016-04-01,Midwest,East North Central
2016,Illinois,3,March,6.1,2016-03-01,Midwest,East North Central
2016,Illinois,2,February,6.1,2016-02-01,Midwest,East North Central
2016,Illinois,1,January,6.1,2016-01-01,Midwest,East North Central
2015,Illinois,12,December,6.1,2015-12-01,Midwest,East North Central
2015,Illinois,11,November,6,2015-11-01,Midwest,East North Central
2015,Illinois,10,October,5.9,2015-10-01,Midwest,East North Central
2015,Illinois,9,September,5.9,2015-09-01,Midwest,East North Central
2015,Illinois,8,August,5.9,2015-08-01,Midwest,East North Central
2015,Illinois,7,July,5.9,2015-07-01,Midwest,East North Central
2015,Illinois,6,June,5.9,2015-06-01,Midwest,East North Central
2015,Illinois,5,May,6,2015-05-01,Midwest,East North Central
2015,Illinois,4,April,6,2015-04-01,Midwest,East North Central
2015,Illinois,3,March,6,2015-03-01,Midwest,East North Central
2015,Illinois,2,February,6,2015-02-01,Midwest,East North Central
2015,Illinois,1,January,6,2015-01-01,Midwest,East North Central
2014,Illinois,12,December,6.1,2014-12-01,Midwest,East North Central
2014,Illinois,11,November,6.3,2014-11-01,Midwest,East North Central
2014,Illinois,10,October,6.4,2014-10-01,Midwest,East North Central
2014,Illinois,9,September,6.6,2014-09-01,Midwest,East North Central
2014,Illinois,8,August,6.7,2014-08-01,Midwest,East North Central
2014,Illinois,7,July,6.9,2014-07-01,Midwest,East North Central
2014,Illinois,6,June,7.1,2014-06-01,Midwest,East North Central
2014,Illinois,5,May,7.3,2014-05-01,Midwest,East North Central
2014,Illinois,4,April,7.6,2014-04-01,Midwest,East North Central
2014,Illinois,3,March,7.8,2014-03-01,Midwest,East North Central
2014,Illinois,2,February,8.1,2014-02-01,Midwest,East North Central
2014,Illinois,1,January,8.3,2014-01-01,Midwest,East North Central
2013,Illinois,12,December,8.5,2013-12-01,Midwest,East North Central
2013,Illinois,11,November,8.7,2013-11-01,Midwest,East North Central
2013,Illinois,10,October,8.8,2013-10-01,Midwest,East North Central
2013,Illinois,9,September,9,2013-09-01,Midwest,East North Central
2013,Illinois,8,August,9.1,2013-08-01,Midwest,East North Central
2013,Illinois,7,July,9.1,2013-07-01,Midwest,East North Central
2013,Illinois,6,June,9.1,2013-06-01,Midwest,East North Central
2013,Illinois,5,May,9.2,2013-05-01,Midwest,East North Central
2013,Illinois,4,April,9.2,2013-04-01,Midwest,East North Central
2013,Illinois,3,March,9.3,2013-03-01,Midwest,East North Central
2013,Illinois,2,February,9.3,2013-02-01,Midwest,East North Central
2013,Illinois,1,January,9.2,2013-01-01,Midwest,East North Central
2012,Illinois,12,December,9.1,2012-12-01,Midwest,East North Central
2012,Illinois,11,November,9,2012-11-01,Midwest,East North Central
2012,Illinois,10,October,9,2012-10-01,Midwest,East North Central
2012,Illinois,9,September,8.9,2012-09-01,Midwest,East North Central
2012,Illinois,8,August,9,2012-08-01,Midwest,East North Central
2012,Illinois,7,July,9,2012-07-01,Midwest,East North Central
2012,Illinois,6,June,9,2012-06-01,Midwest,East North Central
2012,Illinois,5,May,9,2012-05-01,Midwest,East North Central
2012,Illinois,4,April,8.9,2012-04-01,Midwest,East North Central
2012,Illinois,3,March,8.9,2012-03-01,Midwest,East North Central
2012,Illinois,2,February,9,2012-02-01,Midwest,East North Central
2012,Illinois,1,January,9.1,2012-01-01,Midwest,East North Central
2011,Illinois,12,December,9.4,2011-12-01,Midwest,East North Central
2011,Illinois,11,November,9.6,2011-11-01,Midwest,East North Central
2011,Illinois,10,October,9.9,2011-10-01,Midwest,East North Central
2011,Illinois,9,September,10,2011-09-01,Midwest,East North Central
2011,Illinois,8,August,10.1,2011-08-01,Midwest,East North Central
2011,Illinois,7,July,10,2011-07-01,Midwest,East North Central
2011,Illinois,6,June,9.9,2011-06-01,Midwest,East North Central
2011,Illinois,5,May,9.7,2011-05-01,Midwest,East North Central
2011,Illinois,4,April,9.5,2011-04-01,Midwest,East North Central
2011,Illinois,3,March,9.4,2011-03-01,Midwest,East North Central
2011,Illinois,2,February,9.4,2011-02-01,Midwest,East North Central
2011,Illinois,1,January,9.4,2011-01-01,Midwest,East North Central
2010,Illinois,12,December,9.5,2010-12-01,Midwest,East North Central
2010,Illinois,11,November,9.7,2010-11-01,Midwest,East North Central
2010,Illinois,10,October,9.8,2010-10-01,Midwest,East North Central
2010,Illinois,9,September,9.9,2010-09-01,Midwest,East North Central
2010,Illinois,8,August,10,2010-08-01,Midwest,East North Central
2010,Illinois,7,July,10.1,2010-07-01,Midwest,East North Central
2010,Illinois,6,June,10.3,2010-06-01,Midwest,East North Central
2010,Illinois,5,May,10.6,2010-05-01,Midwest,East North Central
2010,Illinois,4,April,10.8,2010-04-01,Midwest,East North Central
2010,Illinois,3,March,11.1,2010-03-01,Midwest,East North Central
2010,Illinois,2,February,11.3,2010-02-01,Midwest,East North Central
2010,Illinois,1,January,11.3,2010-01-01,Midwest,East North Central
2009,Illinois,12,December,11.3,2009-12-01,Midwest,East North Central
2009,Illinois,11,November,11.1,2009-11-01,Midwest,East North Central
2009,Illinois,10,October,11,2009-10-01,Midwest,East North Central
2009,Illinois,9,September,10.8,2009-09-01,Midwest,East North Central
2009,Illinois,8,August,10.7,2009-08-01,Midwest,East North Central
2009,Illinois,7,July,10.5,2009-07-01,Midwest,East North Central
2009,Illinois,6,June,10.4,2009-06-01,Midwest,East North Central
2009,Illinois,5,May,10.2,2009-05-01,Midwest,East North Central
2009,Illinois,4,April,9.8,2009-04-01,Midwest,East North Central
2009,Illinois,3,March,9.4,2009-03-01,Midwest,East North Central
2009,Illinois,2,February,8.9,2009-02-01,Midwest,East North Central
2009,Illinois,1,January,8.3,2009-01-01,Midwest,East North Central
2008,Illinois,12,December,7.8,2008-12-01,Midwest,East North Central
