"ADDRESS","BOROUGH","BIN","CD","CATEGORY","SUBCATEGORIES","JOB NUMBERS"
"5601 13 AVE","Brooklyn","3140092","312","Approved Work","Essential Facility","321373795"
"561 PACIFIC STREET","Brooklyn","3001020","302","Approved Work","Emergency Construction","321561500; 340506232"
"563 56 STREET","BROOKLYN","3015047","307","Approved Work","LAA","B00343216"
"564 1 ST","Brooklyn","3025251","306","Approved Work","Single Worker Limit","321928410"
"564 PRESIDENT STREET","Brooklyn","3323383","306","Approved Work","Emergency Construction","322012709"
"564REAR PRESIDENT STREET","Brooklyn","3323382","306","Approved Work","Emergency Construction","322012692"
"565 CHRISTOPHER AVENUE","BROOKLYN","3085862","316","Approved Work","LAA","B00320752"
"567 OCEAN PARKWAY","Brooklyn","3425052","312","Approved Work","Essential Facility; Affordable Housing","321478664"
"569 MARCY AVENUE","Brooklyn","3421430","303","Approved Work","Essential Facility; Affordable Housing","321042590"
"570 NOSTRAND AVE","Brooklyn","3332258","303","Approved Work","Essential Facility; Affordable Housing","321628789"
"5700 AVENUE U","BROOKLYN","3238576","318","Approved Work","Essential Facility","B00229068"
"5702 21 AVENUE","Brooklyn","3131253","312","Approved Work","Single Worker Limit","321819065"
"5702 8 AVENUE","BROOKLYN","3015881","307","Approved Work","Emergency Construction","322088227; B00302540"
"571 ALBANY AVE","Brooklyn","3107091","309","Approved Work","Essential Facility; Affordable Housing","321383230"
"572 LINCOLN PLACE","BROOKLYN","3032544","308","Approved Work","Essential Business","B00270535; B00297936"
"573 KINGS HIGHWAY","Brooklyn","3177378","315","Approved Work","Essential Business","340631962"
"574 MANHATTAN AVE","Brooklyn","3066753","301","Approved Work","Emergency Construction","321827181"
"574 SCHENECTADY AVENUE","Brooklyn","3107667","309","Approved Work","Essential Facility","320847759"
"575 4 AVENUE","Brooklyn","3428584","307","Approved Work","Emergency Construction","321552841"
"577 THIRD AVENUE","Brooklyn","3023839","307","Approved Work","Essential Facility; Affordable Housing","320909987"
"578 COZINE AVENUE","Brooklyn","3099067","305","Approved Work","Essential Facility; Essential Business","321834538; 321835378; B00338540"
"58 PALMETTO STREET","Brooklyn","3823657","304","Approved Work","Essential Facility; Affordable Housing","321830088"
"58 SAINT MARKS PLACE","Brooklyn","3006277","302","Approved Work","Essential Facility; Affordable Housing; Electrical","321386175; B00346550"
"58 SHARON STREET","BROOKLYN","3331470","301","Approved Work","Electrical","B00341964"
"5803 7TH AVENUE","Brooklyn","3016181","307","Approved Work","Essential Facility","321606106"
"585 QUINCY STREET","BROOKLYN","3044261","303","Approved Work","Electrical","B00345596"
"586 EAST 32 STREET","Brooklyn","3426559","317","Approved Work","Essential Facility; Affordable Housing","321386585"
"589 ROCKAWAY AVE","Brooklyn","3081793","316","Approved Work","Essential Facility","321647768"
"59 GELSTON AVENUE","Brooklyn","3154262","310","Approved Work","Electrical","B00346051"
"591 PUTNAM AVENUE","Brooklyn","3045114","303","Approved Work","Single Worker Limit","321637519; B00319464"
"591 RUTLAND ROAD","Brooklyn","3107077","309","Approved Work","Essential Facility; Affordable Housing","321354128"
"593 RUTLAND ROAD","Brooklyn","3107076","309","Approved Work","Essential Facility; Affordable Housing","321354137"
"594 2 STREET","BROOKLYN","3025349","306","Approved Work","Electrical","B00343046"
"596 EAST 32 STREET","Brooklyn","3426560","317","Approved Work","Essential Facility; Affordable Housing","321594379"
"597 MARCY AVE","Brooklyn","3426256","303","Approved Work","Essential Facility; Affordable Housing","321359766"
"6 CORSO COURT","Brooklyn","3193424","315","Approved Work","LAA","B00341216; B00341216"
"60 FANE COURT","Brooklyn","3250060","315","Approved Work","Essential Facility","321571697"
"60 FRONT STREET","Brooklyn","3426503","302","Approved Work","Essential Facility","321384364"
"600 WYONA STREET","BROOKLYN","3085135","305","Approved Work","LAA","B00342925"
"601 BALTIC STREET","BROOKLYN","3323319","306","Approved Work","Emergency Construction","321657006"
"601 EAST 19 STREET","BROOKLYN","3120576","314","Approved Work","Emergency Construction","B00342554"
"601 SACKETT STREET","Brooklyn","3007002","306","Approved Work","Essential Facility","321912178"
"603 RUTLAND ROAD","BROOKLYN","3107072","309","Approved Work","Electrical; LAA","B00342870; B00341499"
"605 HART STREET","Brooklyn","3421763","304","Approved Work","Essential Facility; Affordable Housing","321093598"
"608 RUGBY ROAD","Brooklyn","3121114","314","Approved Work","Emergency Construction","321075420"
"61 AVENUE U","BROOKLYN","3190904","311","Approved Work","Essential Facility","321909672"
"61 MONTROSE AVENUE","BROOKLYN","3071074","301","Approved Work","Essential Facility; Affordable Housing","321594351"
"61 N 11 ST","Brooklyn","3061534","301","Approved Work","Essential Business","321690381"
"61 PIERREPONT STREET","Brooklyn","3001824","302","Approved Work","Single Worker Limit","321974887"
"61 SCHAEFER STREET","Brooklyn","3079223","304","Approved Work","Essential Facility; Affordable Housing","320624552"
"61 TROUTMAN STREET","Brooklyn","3424255","304","Approved Work","Essential Facility; Affordable Housing","321486851"
"62 BARLOW DRIVE NORTH","Brooklyn","3243316","318","Approved Work","Single Worker Limit","321454172"
"620 ATLANTIC AVENUE","Brooklyn","3398156","302","Approved Work","Energy Industry","B00211436"
"620 DEGRAW STREET","Brooklyn","3006992","306","Approved Work","Single Worker Limit","321679028"
"623 AVENUE H","BROOKLYN","3170090","314","Approved Work","Essential Facility","321581374"
"623 SACKETT STREET","Brooklyn","3007000","306","Approved Work","Essential Business","321914185; 340655516"
"625 ATLANTIC AVENUE","BROOKLYN","3057470","302","Approved Work","Essential Facility","B00276317; B00301927"
"626 ROCKAWAY PARKWAY","BROOKLYN","3105161","317","Approved Work","Electrical","B00346049"
"626 SHEEPSHEAD BAY ROAD","BROOKLYN","3426835","313","Approved Work","Essential Facility","322017946; B00337755"
"627 LEONARD STREET","BROOKLYN","3065639","301","Approved Work","Emergency Construction","321994847"
"63 FLUSHING AVENUE","Brooklyn","3335129","302","Approved Work","Emergency Construction; Essential Facility; Essential Business","321383392; 321190563; 321383392; 321929749; 321940815; 321941912; 321953953; 321954765; 321972095"
"630 FLUSHING AVE","Brooklyn","3329628","303","Approved Work","Essential Facility; Essential Business","322019748; 321923102"
"635 STERLING PL","Brooklyn","3029288","308","Approved Work","Single Worker Limit","340651887"
"639 FOSTER AVENUE","Brooklyn","3128179","314","Approved Work","Essential Facility; Affordable Housing; Electrical","321383560; B00340043; B00340232; B00344866"
"64 STAGG STREET","Brooklyn","3070865","301","Approved Work","Single Worker Limit","B00195230"
"640 BALTIC STREET","Brooklyn","3018982","306","Approved Work","Single Worker Limit","321605349"
"640 COLUMBIA STREET","Brooklyn","3394734","306","Approved Work","Essential Facility","321383007"
"643 SHEFFIELD AVENUE","Brooklyn","3421594","305","Approved Work","Essential Facility; Affordable Housing","B00133276; B00265577"
"645 NEW JERSEY AVENUE","BROOKLYN","3085597","305","Approved Work","Electrical","B00342176"
"647 SHEFFIELD AVENUE","Brooklyn","3425698","305","Approved Work","Essential Facility; Affordable Housing","B00133297; B00265525"
"648 MIDWOOD STREET","Brooklyn","3107093","309","Approved Work","Essential Facility; Affordable Housing","321948238"
"65 GRAHAM AVENUE","Brooklyn","3325956","301","Approved Work","Essential Facility; Affordable Housing","321250604"
"65 IRVING PLACE","Brooklyn","3418380","302","Approved Work","Single Worker Limit","320623820"
"65 ORIENTAL BOULEVARD","Brooklyn","3245696","315","Approved Work","Essential Facility","321906808"
"65 WOODBINE ST","Brooklyn","3076576","304","Approved Work","Essential Facility; Affordable Housing","320625908"
"6502 18TH AVENUE","Brooklyn","3133854","311","Approved Work","Emergency Construction; Essential Facility","321917146; 321964139"
"654 SAPPHIRE STREET","Brooklyn","3350432","305","Approved Work","Electrical","B00343855"
"659 HANCOCK ST","Brooklyn","3045916","303","Approved Work","Essential Facility; Affordable Housing","321633158"
"66 CLARK STREET","BROOKLYN","3001863","302","Approved Work","Emergency Construction; Single Worker Limit","340723783"
"66 JEWEL STREET","Brooklyn","3065902","301","Approved Work","Single Worker Limit","321991172"
"66 LINDEN ST","Brooklyn","3076239","304","Approved Work","Essential Facility; Affordable Housing","320912697"
"660 EAST 98 STREET","BROOKLYN","3105176","317","Approved Work","Essential Business","B00198256"
"669 JEFFERSON AVENUE","Brooklyn","3045515","303","Approved Work","Emergency Construction","321825995"
"67 VAN DAM STREET","BROOKLYN","3258578","301","Approved Work","Essential Facility","340716069; B00292070"
"670 92 STREET","BROOKLYN","3156347","310","Approved Work","Essential Facility","320932871"
"6701 COLONIAL ROAD","BROOKLYN","3144376","310","Approved Work","Essential Business","B00220748"
"673 PRESIDENT STREET","Brooklyn","3020174","306","Approved Work","Single Worker Limit","321802518"
"676 CENTRAL AVENUE","BROOKLYN","3079967","304","Approved Work","Electrical","B00345936"
"676 CLEVELAND STREET","Brooklyn","3090540","305","Approved Work","Essential Facility","321990360; 322058394"
"68 FERRIS STREET","Brooklyn","3008586","306","Approved Work","Essential Facility","322043668"
"680 EAST 21ST STREET","Brooklyn","3120590","314","Approved Work","Essential Facility; Affordable Housing","321597811"
"6801 OWLS HEAD COURT","BROOKLYN","3144957","310","Approved Work","LAA","B00347422"
"682 HANCOCK ST","Brooklyn","3046212","303","Approved Work","Emergency Construction","B00318121"
"683A MYRTLE AVENUE","BROOKLYN","3048423","303","Approved Work","LAA","B00326733"
"684 CLINTON STREET","Brooklyn","3426524","306","Approved Work","Essential Facility","321991074"
"69 9 STREET","BROOKLYN","3337608","306","Approved Work","Essential Facility","B00321858"
"69 LEFFERTS PLACE","Brooklyn","3057689","302","Approved Work","Single Worker Limit","321445600"
"69 STEWART STREET","BROOKLYN","3080556","304","Approved Work","LAA","B00346037"
"69 VAN DYKE STREET","BROOKLYN","3428549","306","Approved Work","Essential Facility","321596368; B00273361; B00288929; B00288939; B00294313; B00294364"
"690 ROGERS AVENUE","Brooklyn","3116244","317","Approved Work","Emergency Construction","321981593"
"6911 SHORE ROAD","BROOKLYN","3388765","310","Approved Work","Electrical","B00340125"
"698 EMPIRE BLVD","Brooklyn","3038424","309","Approved Work","Emergency Construction; Essential Facility; Affordable Housing; Electrical","321594164; B00206863; B00246324; 340723382; B00346495"
"698 FLUSHING AVE","Brooklyn","3048334","303","Approved Work","Essential Facility; Affordable Housing","322064733"
"7 ARLINGTON PLACE","BROOKLYN","3052997","303","Approved Work","LAA","B00290990"
"7 HEGEMAN AVENUE","Brooklyn","3082700","316","Approved Work","Essential Facility; LAA","322033269; B00340561"
"70 ATLANTIC AVE","Brooklyn","3425857","306","Approved Work","Essential Facility","B00332213"
"70 HAVEMEYER","Brooklyn","3062268","301","Approved Work","Essential Facility; Affordable Housing","321386889"
"70 STRONG PLACE","BROOKLYN","3003875","306","Approved Work","Electrical","B00346289"
"70 VERANDAH PLACE","Brooklyn","3329483","306","Approved Work","Single Worker Limit","321728911"
"702 OCEAN PARKWAY","BROOKLYN","3390869","314","Approved Work","Electrical","B00337803"
"702 PUTNAM AVENUE","Brooklyn","3045410","303","Approved Work","Single Worker Limit","340702500"
"704 8 AVENUE","BROOKLYN","3025767","306","Approved Work","Essential Facility","340718655"
"707 WILLOUGHBY AVE","Brooklyn","3426772","303","Approved Work","Essential Facility; Affordable Housing","321764104"
"71 GREENE AVE","Brooklyn","3412985","302","Approved Work","Single Worker Limit","320577531"
"71 JAVA STREET","Brooklyn","3064395","301","Approved Work","Single Worker Limit","321597857; 340654768"
"71 LINCOLN PLACE","Brooklyn","3019440","306","Approved Work","Electrical","B00343465"
"710 METROPOLITAN AVENUE","Brooklyn","3338159","301","Approved Work","Essential Facility","321189851"
"7118 5 AVENUE","BROOKLYN","3146610","310","Approved Work","LAA","B00340390"
"715 6TH AVE","Brooklyn","3426062","307","Approved Work","Single Worker Limit","321190545"
"716 MYRTLE AVENUE","Brooklyn","3329636","303","Approved Work","Essential Facility","321755686"
"718 ESSEX STREET","BROOKLYN","3097092","305","Approved Work","LAA","B00347164"
"72 CATON PLACE","Brooklyn","3808198","307","Approved Work","Essential Facility; Electrical","321693413; B00347498"
"7201 RIDGE BOULEVARD","BROOKLYN","3147280","310","Approved Work","Electrical","B00346064"
"722 HINSDALE STREET","Brooklyn","3818775","305","Approved Work","Essential Facility; Affordable Housing","321383677"
"723 WYTHE AVENUE","BROOKLYN","3060472","301","Approved Work","Electrical","B00340675"
"727 JEROME STREET","Brooklyn","3097582","305","Approved Work","Emergency Construction; Single Worker Limit; Electrical","340715391; B00346178"
"728 EAST NEW YORK AVENUE","BROOKLYN","3106612","309","Approved Work","Electrical","B00344413"
"730 EAST 32 STREET","Brooklyn","3205944","314","Approved Work","Essential Facility; Affordable Housing","321190439"
"734 5TH AVENUE","Brooklyn","3425452","307","Approved Work","Single Worker Limit","320909013"
"735 LAFAYETTE AVENUE","Brooklyn","3049840","303","Approved Work","Single Worker Limit","321800814"
"737 JEROME STREET","Brooklyn","3097578","305","Approved Work","Single Worker Limit","321401960"
"737 PARK PLACE","Brooklyn","3823841","308","Approved Work","Essential Facility","321196889"
"739 FENIMORE STREET","Brooklyn","3426582","309","Approved Work","Essential Facility; Affordable Housing","321720321"
"739 GRAND STREET","BROOKLYN","3069460","301","Approved Work","LAA","B00342127"
"74 BAYARD STREET","Brooklyn","3338048","301","Approved Work","Single Worker Limit","321910811"
"74 BOGART STREET","BROOKLYN","3071392","301","Approved Work","Essential Business","321990501"
"74 GATLING PLACE","BROOKLYN","3322526","310","Approved Work","Electrical","B00342323"
"74 KENT ST","Brooklyn","3330074","301","Approved Work","Essential Facility","322017535"
"74 WYTHE AVENUE","BROOKLYN","3061535","301","Approved Work","Essential Facility","B00261918"
"740 5TH AVE","Brooklyn","3009590","307","Approved Work","Essential Business","321594404"
"740 NOSTRAND AVENUE","BROOKLYN","3031505","308","Approved Work","Electrical","B00347501"
"741 FENIMORE STREET","Brooklyn","3426583","309","Approved Work","Essential Facility; Affordable Housing","321720330"
"743 AVENUE X","BROOKLYN","3194977","315","Approved Work","Electrical","B00340920"
"745 5 AVENUE","BROOKLYN","3009591","307","Approved Work","Energy Industry","322045229; B00273063"
"745 DEKALB AVENUE","BROOKLYN","3049506","303","Approved Work","Essential Business","322017642"
"75 DOWNING STREET","BROOKLYN","3056870","302","Approved Work","Single Worker Limit","321952286"
"75 WILSON STREET","Brooklyn","3341987","301","Approved Work","Essential Facility; Electrical","B00273384; B00345808"
"750 MANHATTAN AVENUE","BROOKLYN","3065661","301","Approved Work","Essential Facility; Electrical","322002836; B00191930; B00251199; B00251207; B00251213; B00346761"
"755 FULTON STREET","BROOKLYN","3815728","302","Approved Work","Essential Business","B00295315; B00333946"
"76 SCHERMERHORN STREET","Brooklyn","3002703","302","Approved Work","Emergency Construction","321188086; 321778037; 340583979"
"760 39 STREET","BROOKLYN","3017898","307","Approved Work","LAA","B00343273"
"762 EAST 32 STREET","Brooklyn","3205946","314","Approved Work","Essential Facility; Affordable Housing","321570778"
"762 FLATBUSH AVENUE","BROOKLYN","3116171","314","Approved Work","Emergency Construction","B00327965; B00328010"
"764 EAST 32 STREET","Brooklyn","3425598","314","Approved Work","Essential Facility; Affordable Housing","321570787"
"766 DECATUR STREET","Brooklyn","3810849","316","Approved Work","Single Worker Limit","321189192"
"77 CLARKSON AVENUE","Brooklyn","3426820","309","Approved Work","Essential Facility","321197771"
"770 LEXINGTON AVENUE","Brooklyn","3044372","303","Approved Work","Essential Facility; Affordable Housing","321849461"
"770 OCEAN PARKWAY","BROOKLYN","3170326","314","Approved Work","Essential Facility","340624685"
"7704 5 AVENUE","BROOKLYN","3149877","310","Approved Work","Electrical","B00338400"
"771 EAST 32ND ST","Brooklyn","3428510","317","Approved Work","Essential Facility","321194195"
"773 EAST 32ND ST","Brooklyn","3424853","317","Approved Work","Essential Facility","321194202"
"773 JEFFERSON AVENUE","Brooklyn","3045565","303","Approved Work","Single Worker Limit","321751323"
"774 LEXINGTON AVENUE","Brooklyn","3426468","303","Approved Work","Essential Facility; Affordable Housing","321849470"
"776 FRANKLIN AVE","Brooklyn","3029599","308","Approved Work","Essential Facility; Affordable Housing","321384060"
"78 8 AVENUE","BROOKLYN","3024654","306","Approved Work","LAA","B00322703"
"78 EAGLE STREET","Brooklyn","3063897","301","Approved Work","Emergency Construction","321798266"
"78 FREEMAN STREET","BROOKLYN","3064011","301","Approved Work","Single Worker Limit; Essential Business","321144409; 340432375"
"781 BELMONT AVENUE","BROOKLYN","3089294","305","Approved Work","Essential Facility; Affordable Housing","321990958; 322058704"
"782 NEW YORK AVENUE","Brooklyn","3426836","317","Approved Work","Essential Facility; Affordable Housing","321100143"
"784 BELMONT AVENUE","Brooklyn","3089577","305","Approved Work","Essential Facility; Affordable Housing","340696287"
"79 TRUXTON STREET","Brooklyn","3423889","316","Approved Work","Essential Facility; Affordable Housing; Electrical","321384266; B00344106"
"794 UNION STREET","BROOKLYN","3020197","306","Approved Work","Essential Facility","322068944; B00312020; B00312045"
"797 LINCOLN PLACE","Brooklyn","3032345","308","Approved Work","Single Worker Limit","321973254"
"8 PALMETTO STREET","Brooklyn","3428683","304","Approved Work","Essential Facility","321383711"
"80 CRANBERRY STREET","BROOKLYN","3001646","302","Approved Work","Single Worker Limit","322071477"
"80 DIAMOND STREET","BROOKLYN","3066337","301","Approved Work","Emergency Construction; LAA","B00319712"
"80 ST. JAMES PLACE","Brooklyn","3341944","302","Approved Work","Emergency Construction","321979551; B00197165"
"800 BROADWAY","Brooklyn","3042819","303","Approved Work","Emergency Construction","321420324"
"800 EAST   12 STREET","BROOKLYN","3179168","314","Approved Work","Electrical","B00345404"
"801 DRIGGS AVE","Brooklyn","3063457","301","Approved Work","Essential Facility; Affordable Housing","321282072"
"802 FLUSHING AVENUE","Brooklyn","3425456","304","Approved Work","Essential Facility","321195817"
"802 HOWARD AVENUE","Brooklyn","3081797","316","Approved Work","Essential Facility; Affordable Housing","321197423"
"802 STERLING PLACE","Brooklyn","3031866","308","Approved Work","Single Worker Limit","320911368; 321536799; B00342270"
"803 8 AVENUE","BROOKLYN","3025927","306","Approved Work","Single Worker Limit","322017599"
"8035 HARBOR VIEW TERRACE","Brooklyn","3150703","310","Approved Work","Electrical","B00083510"
"805 ST. MARK'S AVENUE","Brooklyn","3341622","308","Approved Work","Emergency Construction","321670713"
"807 MANHATTAN AVENUE","Brooklyn","3065317","301","Approved Work","Emergency Construction","321197218"
"809 GRAND STREET","BROOKLYN","3069482","301","Approved Work","Essential Business","321973138"
"811 CORTELYOU ROAD","Brooklyn","3126291","312","Approved Work","Emergency Construction","322038380"
"812 ALBANY AVENUE","BROOKLYN","3108271","317","Approved Work","Emergency Construction","322019409"
"814 BEDFORD AVENUE","Brooklyn","3426224","303","Approved Work","Emergency Construction","321362565"
"815 FLATBUSH AVENUE","BROOKLYN","3116601","314","Approved Work","Essential Facility; Affordable Housing","321595751; B00337664"
"81B VISITATION PLACE","BROOKLYN","3323668","306","Approved Work","LAA","B00342894"
"82 7TH AVENUE","Brooklyn","3019871","306","Approved Work","Single Worker Limit","340722221; 340723738"
"82 JOHN ST","Brooklyn","3329403","302","Approved Work","Essential Business","321184981"
"820 CLASSON AVENUE","Brooklyn","3029556","308","Approved Work","Single Worker Limit","321383150"
"8201 4 AVENUE","BROOKLYN","3152095","310","Approved Work","Electrical","B00340004"
"825 39TH STREET","Brooklyn","3337390","312","Approved Work","Essential Facility","321023389"
"826 4 AVENUE","Brooklyn","3009782","307","Approved Work","Essential Facility","321190000"
"826 SURF AVENUE","Brooklyn","3326899","313","Approved Work","Emergency Construction","321755784"
"83 EAGLE STREET","Brooklyn","3424550","301","Approved Work","Single Worker Limit","321278764"
"830 EAST   52 STREET","BROOKLYN","3222055","317","Approved Work","LAA","B00342911"
"831 MONROE STREET","Brooklyn","3393528","303","Approved Work","Essential Facility; Affordable Housing","302325721"
"833 39TH STREET","Brooklyn","3330494","312","Approved Work","Essential Facility","320869039"
"833 JAMAICA AVE","Brooklyn","3819415","305","Approved Work","Essential Business","B00222781"
"834 PACIFIC STREET","Brooklyn","3332399","308","Approved Work","Essential Facility; Affordable Housing","320912884"
"84 FERRIS STREET","Brooklyn","3008587","306","Approved Work","Emergency Construction","321912622; 321986348"
"84 SAINT MARKS PLACE","Brooklyn","3018649","306","Approved Work","Single Worker Limit","321594707"
"840 FULTON STREET","BROOKLYN","3426625","302","Approved Work","Essential Facility; Affordable Housing","320596565; 321659451"
"85 3 STREET","Brooklyn","3007911","306","Approved Work","Emergency Construction","310025718"
"85 CALYER STREET","Brooklyn","3426828","301","Approved Work","Single Worker Limit","321670562"
"85 JAY STREET","Brooklyn","3425091","302","Approved Work","Essential Facility","321188415; 340699792"
"85 QUAY STREET","BROOKLYN","3065240","301","Approved Work","Single Worker Limit","B00187525"
"850 3 AVE","Brooklyn","3009889","307","Approved Work","Essential Business; Electrical","321072726; 321984894; 322018053; B00214574; B00267952; B00345229"
"850 METROPOLITAN AVE","Brooklyn","3330330","301","Approved Work","Single Worker Limit","320597412; 321310924"
"8516 AVE J","Brooklyn","3421881","318","Approved Work","","321414411"
"853 HERKIMER ST","Brooklyn","3048013","303","Approved Work","Emergency Construction; Essential Facility; Affordable Housing","321955390; 321909048"
"856 FULTON STREET","BROOKLYN","3057536","302","Approved Work","Essential Facility","322043196; B00326384"
"86 BALTIC STREET","Brooklyn","3342085","306","Approved Work","Emergency Construction","321814186"
"86 CHURCH AVENUE","BROOKLYN","3125215","312","Approved Work","Emergency Construction","340690078; B00189302"
"862 EAST 17 STREET","BROOKLYN","3179389","314","Approved Work","Emergency Construction","340708513"
"865 THOMAS S BOYLAND STREET","BROOKLYN","3082335","316","Approved Work","Essential Facility; Affordable Housing","322059419"
"8658 16 AVENUE","Brooklyn","3166289","311","Approved Work","Essential Facility; Electrical","321821784; B00345678"
"869 FLUSHING AVENUE","BROOKLYN","3338438","301","Approved Work","LAA","B00344149"
"87 CALYER STREET","Brooklyn","3425774","301","Approved Work","Single Worker Limit","321700691"
"87 COOPER STREET","Brooklyn","3079682","304","Approved Work","Emergency Construction","322070922"
"8700 25 AVENUE","BROOKLYN","3186146","311","Approved Work","Essential Business","B00232325"
"8714 5 AVENUE","BROOKLYN","3153760","310","Approved Work","Essential Facility","B00328692"
"872 HANCOCK STREET","BROOKLYN","3039922","303","Approved Work","Electrical","B00343951"
"876 60 STREET","Brooklyn","3141164","312","Approved Work","Essential Facility","321187210"
"8814 THIRD AVENUE","Brooklyn","3154020","310","Approved Work","Single Worker Limit","321636805"
"882 3 AVENUE","BROOKLYN","3336893","307","Approved Work","LAA","B00344896"
"8823 26 AVENUE","BROOKLYN","3378278","313","Approved Work","LAA","B00340169"
"89 HICKS STREET","BROOKLYN","3001688","302","Approved Work","Emergency Construction","321960464"
"8902 5TH AVENUE","Brooklyn","3154221","310","Approved Work","Essential Facility","321385620"
"891 MOTHER GASTON BOULEVARD","BROOKLYN","3086002","316","Approved Work","Essential Facility; Affordable Housing","322059400"
"8923 BAY PARKWAY","BROOKLYN","3345607","311","Approved Work","Single Worker Limit","B00343135"
"893 WILLOUGHBY AVE","Brooklyn","3328125","304","Approved Work","Essential Facility; Affordable Housing","320912642"
"894 ROCKAWAY AVENUE","Brooklyn","3082838","316","Approved Work","Essential Facility; Affordable Housing","321965487"
"8973 BAY PARKWAY","BROOKLYN","3345609","311","Approved Work","Essential Facility","321982896; B00187315; B00203770; B00203831"
"898 ROCKAWAY AVENUE","Brooklyn","3082839","316","Approved Work","Essential Facility; Affordable Housing","321965432"
"9 COLLEGE PLACE","Brooklyn","3398020","302","Approved Work","Single Worker Limit","321946962"
"9 DEKALB AVENUE","Brooklyn","3000370","302","Approved Work","Essential Facility; Affordable Housing; Electrical","320914338; B00343067; B00343071"
"9 MACDONOUGH STREET","BROOKLYN","3053341","303","Approved Work","Essential Facility; Affordable Housing","321851304"
"9 METROTECH CENTER","BROOKLYN","3058187","302","Approved Work","Essential Facility; Electrical","322003103; B00253188; B00262065; B00262418; B00344493"
"90 GOTHAM AVENUE","Brooklyn","3249780","315","Approved Work","Essential Facility","321545743"
"903 BELMONT AVENUE","BROOKLYN","3094957","305","Approved Work","Emergency Construction","B00295222"
"906 BERGEN STREET","Brooklyn","3028297","308","Approved Work","Essential Facility; Affordable Housing","321193374"
"91 FRANKLIN AVENUE","Brooklyn","3425883","303","Approved Work","Essential Facility; Affordable Housing","321486860"
"91 GRAND AVENUE","Brooklyn","3334696","302","Approved Work","Emergency Construction","321804428"
"915 EAST   86 STREET","BROOKLYN","3225176","318","Approved Work","LAA","B00346258"
"92 STOCKTON ST.","Brooklyn","3426034","303","Approved Work","Essential Facility; Affordable Housing","321042509"
"92 VANDERBILT AVE","Brooklyn","3058158","302","Approved Work","Single Worker Limit","322003719"
"92 WALTON STREET","Brooklyn","3324770","301","Approved Work","Single Worker Limit","321830284"
"922 DEKALB AVENUE","Brooklyn","3043211","303","Approved Work","Essential Facility; Affordable Housing","321749177"
"923 QUENTIN ROAD","Brooklyn","3428576","315","Approved Work","Essential Facility","320622769"
"924 NEW LOTS AVENUE","BROOKLYN","3098401","305","Approved Work","Electrical","B00342115"
"924 ST MARKS AVENUE","Brooklyn","3031059","308","Approved Work","Essential Facility; Affordable Housing","340717424"
"925 EAST 37 STREET","BROOKLYN","3206195","317","Approved Work","Essential Facility","322016581; B00344858"
"926 BEDFORD AVENUE","Brooklyn","3396746","303","Approved Work","Essential Facility","321498410"
"928 CONEY ISLAND AVE","Brooklyn","3424823","314","Approved Work","Essential Facility","321546555"
"93 LINDEN ST","Brooklyn","3400863","304","Approved Work","Essential Facility; Affordable Housing","321210202"
"93 STOCKHOLM STREET","Brooklyn","3073774","304","Approved Work","Essential Facility; Affordable Housing","340656597; 340665195"
"933 ROGERS AVENUE","Brooklyn","3117824","317","Approved Work","Essential Facility; Affordable Housing","321849489"
"937 ROGERS AVENUE","Brooklyn","3117823","317","Approved Work","Essential Facility; Affordable Housing","321849498"
"938 BUSHWICK AVE","Brooklyn","3075290","304","Approved Work","Essential Facility; Affordable Housing","321196610"
"9419 5 AVENUE","BROOKLYN","3155639","310","Approved Work","Essential Facility","321597713"
"942 FLUSHING AVENUE","Brooklyn","3071842","304","Approved Work","Essential Business","321552618"
"944 BEDFORD AVENUE","Brooklyn","3055241","303","Approved Work","Essential Facility","321162022; 340449027"
"948 HERKIMER ST","Brooklyn","3818322","303","Approved Work","Essential Facility; Affordable Housing","321416071"
"949 EAST 8TH STREET","Brooklyn","3170944","312","Approved Work","Single Worker Limit","321769065"
"949 FLATBUSH AVENUE","Brooklyn","3425582","314","Approved Work","Single Worker Limit","320625230"
"95 AINSLIE ST","Brooklyn","3068965","301","Approved Work","Single Worker Limit","321268230"
"95 LINDEN BLVD","Brooklyn","3116662","317","Approved Work","LAA","B00346953"
"95 WILSON STREET","Brooklyn","3341986","301","Approved Work","Essential Facility; Electrical","B00295947; B00345815"
"950 55TH STREET","Brooklyn","3139566","312","Approved Work","Essential Facility","321778493"
"9524 FORT HAMILTON PARKWAY","BROOKLYN","3155783","310","Approved Work","Emergency Construction","340705419"
"953 50 STREET","Brooklyn","3137584","312","Approved Work","Essential Facility","321490775"
"954 DUMONT AVENUE","Brooklyn","3090536","305","Approved Work","Essential Facility; Affordable Housing","321929516; 321990921"
"955 50 STREET","Brooklyn","3137583","312","Approved Work","Essential Facility","321490766"
"957 GREENE AVENUE","Brooklyn","3043904","303","Approved Work","Electrical","B00346903"
"96 FRANKLIN STREET","Brooklyn","3064943","301","Approved Work","Emergency Construction","321495869"
"96 SCHERMERHORN STREET","BROOKLYN","3002707","302","Approved Work","Emergency Construction","321837777"
"960 DUMONT AVENUE","Brooklyn","3090538","305","Approved Work","Essential Facility; Affordable Housing","321929525; 321990351"
"963 ATLANTIC AVENUE","BROOKLYN","3335119","302","Approved Work","Essential Facility; Affordable Housing","321597795"
